category,total_orders,total_revenue,avg_price,avg_freight
agro_industria_e_comercio,212,72530.47,342.12485849056606,27.56415094339623
alimentos,510,29393.41,57.63413725490196,14.256921568627451
alimentos_bebidas,278,15179.48,54.602446043165465,16.215791366906473
artes,209,24202.64,115.8021052631579,19.35488038277512
artes_e_artesanato,24,1814.01,75.58375,15.422083333333333
artigos_de_festas,43,4485.18,104.30651162790699,19.255116279069767
artigos_de_natal,153,8800.82,57.52169934640523,21.106535947712416
audio,364,50688.5,139.25412087912088,15.688021978021977
automotivo,4235,592720.11,139.9575230224321,21.880569067296342
bebes,3065,411764.89,134.34417292006526,22.301177814029366
bebidas,379,22428.7,59.178627968337736,15.148416886543536
beleza_saude,9670,1258681.34,130.16353050672183,18.879703205791106
brinquedos,4117,483946.6,117.54836045664318,18.806400291474375
cama_mesa_banho,11115,1036988.68,93.29632748538012,18.415928025191185
casa_conforto,434,58572.04,134.95861751152074,19.588087557603686
casa_conforto_2,30,760.27,25.342333333333332,13.677
casa_construcao,604,83088.12,137.56311258278146,22.901059602649006
cds_dvds_musicais,14,730.0,52.142857142857146,16.070714285714285
cine_foto,72,6933.46,96.29805555555555,17.447222222222223
climatizacao,297,55024.96,185.26922558922558,22.724680134680135
consoles_games,1137,157465.22,138.49183817062445,17.438891820580476
construcao_ferramentas_construcao,929,144677.59,155.7347578040904,22.22864370290635
construcao_ferramentas_ferramentas,103,15903.95,154.40728155339806,19.710873786407767
construcao_ferramentas_iluminacao,304,41080.0,135.1315789473684,24.94671052631579
construcao_ferramentas_jardim,238,25715.89,108.04995798319328,22.316806722689073
construcao_ferramentas_seguranca,194,40544.52,208.9923711340206,20.201546391752576
cool_stuff,3796,635290.85,167.357968914647,22.138856691253952
dvds_blu_ray,64,5999.39,93.74046875,20.1365625
eletrodomesticos,771,80171.53,103.98382619974059,19.220363164721142
eletrodomesticos_2,238,113317.74,476.1249579831933,44.53857142857143
eletronicos,2767,160246.74,57.913530899891576,16.833509215757136
eletroportateis,679,190648.58,280.7784683357879,23.593888070692195
esporte_lazer,8641,988048.97,114.34428538363615,19.512499710681634
fashion_bolsas_e_acessorios,2031,152823.54,75.24546528803546,15.484982767109798
fashion_calcados,262,23562.77,89.93423664122137,18.774312977099235
fashion_esporte,30,2119.51,70.65033333333334,19.271
fashion_roupa_feminina,48,2803.64,58.409166666666664,12.953125
fashion_roupa_infanto_juvenil,8,569.85,71.23125,11.93875
fashion_roupa_masculina,132,10797.82,81.80166666666666,16.306136363636362
fashion_underwear_e_moda_praia,131,9541.55,72.83625954198473,14.627404580152673
ferramentas_jardim,4347,485256.46,111.63019553715206,22.765757994018863
flores,33,1110.04,33.63757575757575,14.814242424242424
fraldas_higiene,39,1567.59,40.19461538461538,14.709743589743589
industria_comercio_e_negocios,268,39669.61,148.0209328358209,29.42044776119403
informatica_acessorios,7827,911954.32,116.51390315574294,18.821781014437203
instrumentos_musicais,680,191498.88,281.616,27.409544117647062
la_cuisine,14,2054.99,146.785,23.825
livros_importados,60,4639.85,77.33083333333335,12.830833333333334
livros_interesse_geral,553,46856.88,84.73215189873417,16.62842676311031
livros_tecnicos,267,19096.06,71.52082397003745,16.041423220973783
malas_acessorios,1092,140429.98,128.5988827838828,27.880247252747253
market_place,311,28378.47,91.2490996784566,17.543601286173633
moveis_colchao_e_estofado,38,4368.08,114.94947368421053,42.90684210526316
moveis_cozinha_area_de_servico_jantar_e_jardim,281,46328.37,164.8696441281139,42.702597864768684
moveis_decoracao,8334,729762.49,87.56449364050876,20.728257739380847
moveis_escritorio,1691,273960.7,162.0110585452395,40.551123595505615
moveis_quarto,109,20028.78,183.75027522935778,42.49752293577981
moveis_sala,503,68916.56,137.0110536779324,35.72200795228628
musica,38,6034.35,158.79868421052632,18.171315789473685
papelaria,2517,230943.23,91.75336909018674,18.592959872864522
pc_gamer,9,1545.95,171.77222222222224,14.841111111111111
pcs,203,222963.13,1098.3405418719212,48.45467980295566
perfumaria,3419,399124.87,116.73731207955542,15.856636443404502
pet_shop,1947,214315.41,110.0746841294299,20.319075500770413
portateis_casa_forno_e_cafe,76,47445.71,624.2856578947368,36.15605263157895
portateis_cozinha_e_preparadores_de_alimentos,15,3968.5299999999997,264.5686666666667,20.650666666666666
relogios_presentes,5991,1205005.68,201.13598397596394,16.7811600734435
seguros_e_servicos,2,283.28999999999996,141.64499999999998,20.61
sinalizacao_e_seguranca,199,21509.23,108.08658291457286,32.70261306532664
tablets_impressao_imagem,83,7528.41,90.70373493975903,14.773493975903614
telefonia,4545,323667.53,71.21397799779979,15.669040704070406
telefonia_fixa,264,59583.0,225.6931818181818,17.567462121212124
utilidades_domesticas,6964,632248.66,90.78814761631247,20.986374210224007
